"ID","X","Y","Elevation","Distance (Segment)","Distance (Total)","Distance 3D (Segment)","Distance 3D (Total)","Slope (Degrees)","Slope (Percent)","Segment Index"
1,110.2119548651,-7.5392841191,313.577,0,0,0,0,-,-,1
2,110.2124232796,-7.5392843753,312.852,51.696,51.696,51.701,51.701,0.8,1.4%,1
3,110.2128916942,-7.5392846310,312.811,51.696,103.39,51.696,103.4,0.0,0.1%,1
4,110.2133601087,-7.5392848862,314.149,51.696,155.09,51.713,155.11,1.5,2.6%,1
5,110.2138285232,-7.5392851409,314.93,51.696,206.78,51.702,206.81,0.9,1.5%,1
6,110.2142969378,-7.5392853951,316.614,51.696,258.48,51.723,258.54,1.9,3.3%,1
7,110.2147653523,-7.5392856489,317.572,51.696,310.18,51.705,310.24,1.1,1.9%,1
8,110.2152337669,-7.5392859021,317.09,51.696,361.87,51.698,361.94,0.5,0.9%,1
9,110.2157021814,-7.5392861548,316.245,51.696,413.57,51.703,413.64,0.9,1.6%,1
10,110.2161705960,-7.5392864070,315.322,51.696,465.26,51.704,465.34,1.0,1.8%,1
11,110.2166390105,-7.5392866587,316,51.696,516.96,51.7,517.05,0.8,1.3%,1
12,110.2171074251,-7.5392869099,311.22,51.696,568.65,51.916,568.96,5.3,9.2%,1
13,110.2175758396,-7.5392871606,308,51.696,620.35,51.796,620.76,3.6,6.2%,1
14,110.2180442542,-7.5392874108,305.664,51.696,672.05,51.749,672.51,2.6,4.5%,1
15,110.2185126687,-7.5392876605,303.636,51.696,723.74,51.736,724.24,2.2,3.9%,1
16,110.2189810833,-7.5392879097,301.875,51.696,775.44,51.726,775.97,2.0,3.4%,1
17,110.2194494978,-7.5392881584,300.563,51.696,827.13,51.713,827.68,1.5,2.5%,1
18,110.2199179124,-7.5392884066,300.166,51.696,878.83,51.697,879.38,0.4,0.8%,1
19,110.2203863269,-7.5392886543,300.22,51.696,930.53,51.696,931.07,0.1,0.1%,1
20,110.2208547415,-7.5392889015,298.209,51.696,982.22,51.735,982.81,2.2,3.9%,1
21,110.2213231561,-7.5392891482,296.118,51.696,1033.9,51.738,1034.5,2.3,4.0%,1
22,110.2217915706,-7.5392893944,291.452,51.696,1085.6,51.906,1086.5,5.2,9.0%,1
23,110.2222599852,-7.5392896401,290.965,51.696,1137.3,51.698,1138.2,0.5,0.9%,1
24,110.2227283997,-7.5392898852,296.481,51.696,1189,51.989,1190.1,6.1,10.7%,1
25,110.2231968143,-7.5392901299,300.799,51.696,1240.7,51.876,1242,4.8,8.4%,1
26,110.2236652288,-7.5392903741,303.913,51.696,1292.4,51.79,1293.8,3.4,6.0%,1
27,110.2241336434,-7.5392906178,302.673,51.696,1344.1,51.711,1345.5,1.4,2.4%,1
28,110.2246020580,-7.5392908610,301.553,51.696,1395.8,51.708,1397.2,1.2,2.2%,1
29,110.2250704725,-7.5392911037,303.507,51.696,1447.5,51.733,1449,2.2,3.8%,1
30,110.2255388871,-7.5392913458,303.638,51.696,1499.2,51.696,1500.7,0.1,0.3%,1
31,110.2260073016,-7.5392915875,298.949,51.696,1550.9,51.908,1552.6,5.2,9.1%,1
32,110.2264757162,-7.5392918287,299.425,51.696,1602.6,51.698,1604.3,0.5,0.9%,1
33,110.2269441308,-7.5392920694,304.899,51.696,1654.3,51.985,1656.2,6.0,10.6%,1
34,110.2274125453,-7.5392923096,307.387,51.696,1706,51.756,1708,2.8,4.8%,1
35,110.2278809599,-7.5392925492,303.995,51.696,1757.7,51.807,1759.8,3.8,6.6%,1
36,110.2283493744,-7.5392927884,304.058,51.696,1809.4,51.696,1811.5,0.1,0.1%,1
